path	loc	imports_in	imports_out	status	has_test	last_sha
src/core/mode-cycling.ts	306	10	1	WIRED	N	993d661
src/core/project-onboarding.ts	383	3	2	WIRED	Y	993d661
src/core/prompt-override.ts	230	0	0	ORPHAN	N	378e710
src/core/runtime-intelligence.ts	317	1	6	WIRED	N	993d661
src/core/runtime-tool-dispatch.ts	454	0	2	ORPHAN	N	b49ce09
src/core/runtime-tools.ts	257	0	1	ORPHAN	N	b49ce09
src/core/runtime.ts	4843	28	169	WIRED	N	89b4f56
src/core/schema-migration.ts	346	0	2	ORPHAN	N	cb3d661
src/core/session-recap.ts	187	1	1	WIRED	N	779d1f6
src/core/session-resume.ts	243	3	3	WIRED	N	779d1f6
src/core/session.ts	156	3	4	WIRED	N	993d661
src/core/steering-server.ts	262	1	4	WIRED	Y	993d661
src/core/stream-resume.ts	216	2	3	WIRED	N	993d661
src/core/tool-path-extractor.ts	27	1	0	WIRED	Y	9be0640
src/core/types.ts	250	62	0	WIRED	N	4d41702
src/core/virtual-paths.ts	212	2	1	WIRED	N	cb3d661
src/core/workspace.ts	443	2	3	WIRED	N	993d661
src/core/wotann-yml.ts	330	0	1	ORPHAN	N	b5cd165
src/daemon/auto-update.ts	193	0	3	ORPHAN	N	993d661
src/daemon/automations.ts	800	1	4	WIRED	N	cb3d661
src/daemon/background-workers.ts	502	1	9	WIRED	N	993d661
src/daemon/context-pressure.ts	127	1	0	WIRED	Y	993d661
src/daemon/cron-utils.ts	63	2	0	WIRED	N	cb55d53
src/daemon/event-triggers.ts	439	1	5	WIRED	N	cb55d53
src/daemon/file-dep-graph.ts	273	1	2	WIRED	Y	993d661
src/daemon/kairos-ipc.ts	723	5	6	WIRED	Y	cb55d53
src/daemon/kairos-rpc.ts	5375	3	73	WIRED	Y	070aa4c
src/daemon/kairos-tools.ts	327	1	5	WIRED	N	cb3d661
src/daemon/kairos.ts	1750	5	84	WIRED	N	a5827fd
src/daemon/start.ts	235	0	7	ENTRY	N	33e76fc
src/daemon/terminal-monitor.ts	166	1	0	WIRED	Y	993d661
src/desktop/app-state.ts	320	3	5	WIRED	Y	5de7521
src/desktop/artifacts.ts	277	3	0	WIRED	Y	993d661
src/desktop/command-palette.ts	406	1	0	WIRED	Y	993d661
src/desktop/companion-server.ts	2075	2	25	WIRED	Y	31521da
src/desktop/conversation-manager.ts	322	2	3	WIRED	Y	aae86b8
src/desktop/desktop-runtime-bridge.ts	192	1	2	WIRED	Y	993d661
src/desktop/desktop-store.ts	214	0	0	ORPHAN	N	ad37d2c
src/desktop/keyboard-shortcuts.ts	179	1	0	WIRED	Y	993d661
src/desktop/layout.ts	208	1	0	WIRED	N	cb3d661
src/desktop/notification-manager.ts	222	2	1	WIRED	Y	993d661
src/desktop/project-manager.ts	205	1	0	WIRED	Y	aae86b8
src/desktop/prompt-enhancer.ts	226	3	1	WIRED	Y	993d661
src/desktop/supabase-relay.ts	402	2	4	WIRED	N	993d661
src/desktop/tauri-config.ts	309	1	0	WIRED	N	993d661
src/desktop/types.ts	237	5	0	WIRED	N	993d661
src/git/magic-git.ts	330	1	0	WIRED	Y	c5d0838
src/hooks/auto-archive.ts	184	1	5	WIRED	N	993d661
src/hooks/benchmark-engineering.ts	582	1	0	WIRED	N	993d661
src/hooks/built-in.ts	1252	1	9	WIRED	N	b9763f8
src/hooks/doom-loop-detector.ts	294	2	1	WIRED	N	993d661
src/hooks/engine.ts	469	4	1	WIRED	N	705dcb6
src/hooks/rate-limit-resume.ts	261	1	0	WIRED	N	993d661
src/identity/persona.ts	329	2	3	WIRED	N	993d661
src/identity/reasoning-engine.ts	327	1	2	WIRED	N	993d661
src/identity/user-model.ts	481	3	3	WIRED	N	cb3d661
src/index.ts	3655	0	139	ENTRY	N	e3c3ca8
